ano;municipio_cod;total_violencia_domestica;feminicidios;municipio_nome;taxa_feminicidio
2022;310040;16;0;ACAIACA;0.0
2022;310090;9;1;AGUAS FORMOSAS;111.11
2022;310150;66;1;ALEM PARAIBA;15.15
2022;310160;226;3;ALFENAS;13.27
2022;310170;10;1;ALMENARA;100.0
2022;310180;10;0;ALPERCATA;0.0
2022;310240;15;0;ALVORADA DE MINAS;0.0
2022;310260;94;1;ANDRADAS;10.64
2022;310270;19;3;CACHOEIRA DE PAJEU;157.89
2022;310285;8;1;ANGELANDIA;125.0
2022;310320;1;0;ARACAI;0.0
2022;310340;33;2;ARACUAI;60.61
2022;310350;116;1;ARAGUARI;8.62
2022;310375;31;1;ARAPORA;32.26
2022;310400;145;2;ARAXA;13.79
2022;310420;62;1;ARCOS;16.13
2022;310530;11;2;BANDEIRA DO SUL;181.82
2022;310560;183;0;BARBACENA;0.0
2022;310620;3390;40;BELO HORIZONTE;11.8
2022;310670;1032;7;BETIM;6.78
2022;310690;8;0;BICAS;0.0
2022;310720;6;0;BOCAINA DE MINAS;0.0
2022;310730;73;1;BOCAIUVA;13.7
2022;310740;199;1;BOM DESPACHO;5.03
2022;310780;13;1;BOM JESUS DO GALHO;76.92
2022;310810;6;1;BONFIM;166.67
2022;310850;17;0;BOTUMIRIM;0.0
2022;310855;20;2;BRASILANDIA DE MINAS;100.0
2022;310860;30;0;BRASILIA DE MINAS;0.0
2022;310900;154;3;BRUMADINHO;19.48
2022;310920;13;1;BUENOPOLIS;76.92
2022;310930;28;0;BURITIS;0.0
2022;310940;29;1;BURITIZEIRO;34.48
2022;311000;7;2;CAETE;285.71
2022;311020;15;0;CAJURI;0.0
2022;311070;2;0;CAMBUQUIRA;0.0
2022;311090;31;1;CAMPANHA;32.26
2022;311100;91;1;CAMPESTRE;10.99
2022;311115;3;1;CAMPO AZUL;333.33
2022;311120;39;1;CAMPO BELO;25.64
2022;311130;12;1;CAMPO DO MEIO;83.33
2022;311230;76;3;CAPELINHA;39.47
2022;311260;41;0;CAPINOPOLIS;0.0
2022;311330;70;1;CARANGOLA;14.29
2022;311340;14;3;CARATINGA;214.29
2022;311350;25;1;CARBONITA;40.0
2022;311420;70;2;CARMO DO CAJURU;28.57
2022;311430;94;1;CARMO DO PARANAIBA;10.64
2022;311530;169;2;CATAGUASES;11.83
2022;311550;13;0;CAXAMBU;0.0
2022;311570;6;0;CENTRAL DE MINAS;0.0
2022;311615;17;1;CHAPADA GAUCHA;58.82
2022;311730;95;2;CONCEICAO DAS ALAGOAS;21.05
2022;311740;2;1;CONCEICAO DE IPANEMA;500.0
2022;311760;9;1;CONCEICAO DO PARA;111.11
2022;311800;290;1;CONGONHAS;3.45
2022;311820;18;0;CONQUISTA;0.0
2022;311830;470;0;CONSELHEIRO LAFAIETE;0.0
2022;311860;636;10;CONTAGEM;15.72
2022;311880;44;2;CORACAO DE JESUS;45.45
2022;311930;89;0;COROMANDEL;0.0
2022;311940;290;0;CORONEL FABRICIANO;0.0
2022;311995;11;0;CORREGO FUNDO;0.0
2022;312090;157;1;CURVELO;6.37
2022;312160;80;0;DIAMANTINA;0.0
2022;312230;272;4;DIVINOPOLIS;14.71
2022;312240;25;0;DIVISA NOVA;0.0
2022;312245;5;0;DIVISOPOLIS;0.0
2022;312260;8;0;DOM JOAQUIM;0.0
2022;312360;24;1;ELOI MENDES;41.67
2022;312410;93;3;ESMERALDAS;32.26
2022;312430;11;1;ESPINOSA;90.91
2022;312480;14;1;ESTRELA DO SUL;71.43
2022;312490;5;1;EUGENOPOLIS;200.0
2022;312530;2;2;FARIA LEMOS;1000.0
2022;312590;21;1;FERROS;47.62
2022;312610;214;2;FORMIGA;9.35
2022;312630;2;1;FORTALEZA DE MINAS;500.0
2022;312710;181;1;FRUTAL;5.52
2022;312750;9;1;GONZAGA;111.11
2022;312770;571;5;GOVERNADOR VALADARES;8.76
2022;312800;97;2;GUANHAES;20.62
2022;312840;32;1;GUARANI;31.25
2022;312860;2;0;GUARDA-MOR;0.0
2022;312880;9;1;GUIDOVAL;111.11
2022;312900;19;0;GUIRICEMA;0.0
2022;312980;420;2;IBIRITE;4.76
2022;313010;51;3;IGARAPE;58.82
2022;313020;8;0;IGARATINGA;0.0
2022;313050;15;1;ILICINEA;66.67
2022;313130;524;3;IPATINGA;5.73
2022;313170;448;3;ITABIRA;6.7
